Reference,Value,Datasheet,Footprint,Qty,DNP
"C1,C10",100n,https://fr.farnell.com/kemet/c322c104m5u5ta/condensateur-0-1-f-50v-20-z5u/dp/1457707,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,2,
C4,680p,https://fr.farnell.com/vishay/k681k10x7rf5uh5/condensateur-680pf-50v-mlcc-radial/dp/3289410,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,1,
C5,100u,https://fr.farnell.com/teapo/ksh107m063s1a5h12k/condensateur-100-f-63v-20/dp/2800122,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,1,
C6,1000u,https://fr.farnell.com/multicomp/mcksk010m102g13s/condensateur-1000-f-10v-20/dp/2610799,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,1,
D1,PMEG4020CERX,https://fr.farnell.com/nexperia/pmeg4020cerx/diode-schottky-40v-2a-cfp3/dp/4313202,Diode_SMD:Nexperia_CFP3_SOD-123W,1,
D2,SM24CANB-02HTG,https://fr.farnell.com/littelfuse/sm24canb-02htg/diode-protection-esd-aec-q101/dp/2749174,Package_TO_SOT_SMD:SOT-23_Handsoldering,1,
D4,SMAJ33CA,https://fr.farnell.com/littelfuse/smaj33ca/diode-tvs-400w-33v-bidir-do-214ac/dp/2691544?st=smaj33ca,Diode_SMD:D_SMA,1,
D5,PMEG6020CER,https://fr.farnell.com/nexperia/pmeg6020cer-qx/diode-schottky-60v-2a-cfp3/dp/4313204,Diode_SMD:Nexperia_CFP3_SOD-123W,1,
D6,SMAJ4750A,https://fr.farnell.com/multicomp/smaj4750a/diode-zener-1w-27v-do-214ac/dp/2675213,Diode_SMD:D_SMA,1,
F1,Fuse,https://fr.farnell.com/multicomp-pro/mp008633/fusible-cartouche-act-rapide-0/dp/3873902?ost=mp008633,Fuse:Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal,1,
"J1,J5,J6,J7",Conn_01x15,~,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,4,
J2,Conn_01x02,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,
J3,Bus,https://fr.farnell.com/camdenboss/ctbp0158-2/bornier-fil-a-carte-2-voies-12awg/dp/3228568,"custom:PhoenixContact_MSTBVA_2,5_4-G-5,08_1x04_P5.08mm_Vertical_custom",1,
JP1,Jumper_2_Open,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,
L1,470u,https://fr.farnell.com/bourns/rlb0914-471kl/inductor-470uh/dp/2309247,Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,
"R2,R6",10k,https://fr.farnell.com/yageo/mfr50sfte52-10k/res-10k-1-0-5w-axial-couche-metal/dp/3496944,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,2,
R3,0R33,https://fr.farnell.com/multicomp/mcknp01sj033ka10/resistance-bobinee-0r33-5-1ws/dp/1903702,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,1,
R4,120,https://fr.farnell.com/yageo/mfr50sfte52-120r/res-120r-0-5w-axial-couche-metal/dp/3496947,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,1,
R5,6k2,https://fr.farnell.com/multicomp/mf50-6k2/resistance-0-5w-1-6k2/dp/9340785,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,1,
U2,MC34063AD,https://fr.farnell.com/stmicroelectronics/mc34063ebd-tr/convertisseur-dc-dc-buck-boost/dp/3367118?st=mc34063,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,
U3,SN65HVD230,https://fr.farnell.com/texas-instruments/sn65hvd230dr/ic-can-transceiver-1mbps-8soic/dp/3124671,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,
